SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AGROPHOS,EQ,16.7,18,16.2,17.9,17.9,16.6,455105,8026378.3,12-AUG-2021,1115,INE740V01019,
AHLADA,EQ,166.25,183.45,166.25,180.5,181,174.95,260540,45742228.2,12-AUG-2021,4454,INE00PV01013,
AHLEAST,EQ,184,184,176.25,178.4,176.3,178.5,2068,370217.4,12-AUG-2021,152,INE926K01017,
AHLUCONT,EQ,363.8,381.1,363.8,370.4,369.4,363.8,126662,47154997.15,12-AUG-2021,2998,INE758C01029,
AHLWEST,EQ,289.95,292,284,288.65,289.9,286.05,2458,706802.15,12-AUG-2021,80,INE915K01010,
AIAENG,EQ,1951,2000,1945,1949.1,1950,1949,54800,107289169.55,12-AUG-2021,6740,INE212H01026,
AILIMITED,SM,25.15,25.15,25.15,25.15,25.15,26.45,3000,75450,12-AUG-2021,1,INE0CAJ01017,
AIRAN,BE,22.4,23.8,22.1,23.3,23.25,23.1,37810,871702.4,12-AUG-2021,342,INE645W01026,
AIROLAM,SM,54.1,56,52,52.9,52.9,53.8,27000,1441200,12-AUG-2021,8,INE801L01010,
AISL,SM,44.95,49.8,44.95,49.4,49.4,44.75,24000,1121220,12-AUG-2021,14,INE635Y01015,
AJANTPHARM,EQ,2262.8,2281.7,2216.25,2253.25,2239.4,2251.5,140918,314807415.7,12-AUG-2021,8469,INE031B01049,
AJMERA,BE,315,327.7,305,327.7,327.7,312.1,38647,12576832.85,12-AUG-2021,424,INE298G01027,
AJOONI,EQ,59.3,59.95,56.4,57,56.7,59.2,11469,666270.2,12-AUG-2021,272,INE820Y01013,
AKASH,EQ,183.3,185.95,175.55,179.55,175.55,180.4,42223,7587626.15,12-AUG-2021,697,INE737W01013,
AKG,EQ,23.8,25.4,23.8,24.25,24.25,23.3,10281,250551.6,12-AUG-2021,73,INE00Y801016,
AKSHARCHEM,EQ,437.5,464.7,437.5,447.5,452,436.25,66048,29815351.9,12-AUG-2021,5175,INE542B01011,
AKSHOPTFBR,BE,9.3,9.85,8.95,9.85,9.85,9.4,454744,4299379.35,12-AUG-2021,878,INE523B01011,
AKZOINDIA,EQ,2133,2177.8,2132.95,2146.45,2137.2,2131.6,7600,16399952.45,12-AUG-2021,1821,INE133A01011,
ALANKIT,EQ,13.8,15.75,13.7,15.4,15.5,13.8,1477567,22423408.35,12-AUG-2021,4303,INE914E01040,
ALBERTDAVD,EQ,582,655,582,637.1,650,582.55,382851,239509666.65,12-AUG-2021,18713,INE155C01010,
ALEMBICLTD,EQ,108.8,113.7,108.5,113,112.95,108.3,391818,43626948.5,12-AUG-2021,8891,INE426A01027,
ALICON,EQ,825,910,821.75,897.95,910,819.35,59809,52130953.05,12-AUG-2021,4212,INE062D01024,
ALKALI,EQ,74.1,80.4,73.55,77.9,78.5,73.55,50770,3932786.75,12-AUG-2021,1617,INE773I01017,
ALKEM,EQ,3683,3687.95,3628.2,3645.6,3651.55,3684.25,148555,542459978.35,12-AUG-2021,15736,INE540L01014,
ALKYLAMINE,EQ,4227.8,4274,4180,4235,4236,4201.45,44644,189292508.4,12-AUG-2021,7667,INE150B01039,
ALLCARGO,EQ,200,208.7,195.75,204.7,203.3,200.85,2335469,474959539.8,12-AUG-2021,22415,INE418H01029,
ALLSEC,EQ,422.1,434.8,417.05,428.9,426,421.3,9670,4140626,12-AUG-2021,640,INE835G01018,
ALMONDZ,EQ,70.7,70.85,68.05,70.85,70.85,67.5,54375,3828949.45,12-AUG-2021,331,INE326B01027,
ALOKINDS,EQ,22.1,22.6,21.9,22.35,22.45,21.9,3973827,88793294.75,12-AUG-2021,8181,INE270A01029,
ALPA,EQ,50.2,56.2,50.2,55.15,54.8,51.1,88085,4760174.9,12-AUG-2021,770,INE385I01010,
ALPHAGEO,EQ,319.05,339,318.65,335.85,336,317.2,48873,16120265.2,12-AUG-2021,3387,INE137C01018,
ALPSINDUS,BE,2.8,2.8,2.6,2.6,2.6,2.7,10001,26279.4,12-AUG-2021,33,INE093B01015,
AMARAJABAT,EQ,724,733,720.7,729.5,730,719.3,637971,464397218.6,12-AUG-2021,16908,INE885A01032,
AMBANIORG,SM,70.25,70.25,70.25,70.25,70.25,73.9,2000,140500,12-AUG-2021,1,INE00C501018,
AMBER,EQ,2859.7,2942.5,2858.45,2923.9,2919,2835.75,47887,139497916.25,12-AUG-2021,8913,INE371P01015,
AMBICAAGAR,EQ,18,19,18,18.65,19,18.45,10823,200484.55,12-AUG-2021,118,INE792B01012,
AMBIKCO,EQ,1600,1625,1540,1577.5,1570,1557.15,94161,148906151.6,12-AUG-2021,9966,INE540G01014,
AMBUJACEM,EQ,400.3,408,395.45,399.8,400.4,398.25,4066743,1631153526.95,12-AUG-2021,55739,INE079A01024,
AMDIND,EQ,26.85,26.85,25.4,26.4,26.65,25.7,15907,419390.6,12-AUG-2021,204,INE005I01014,
AMJLAND,EQ,33.1,35.25,33.1,33.75,33.25,33.1,79547,2720059.1,12-AUG-2021,726,INE606A01024,
AMRUTANJAN,EQ,679,699,668.5,681.35,684.5,675.5,78238,53204826.3,12-AUG-2021,3832,INE098F01031,
ANANTRAJ,BE,64,64.9,61.8,63.4,63.15,64.05,296203,18482660.4,12-AUG-2021,847,INE242C01024,
ANDHRACEMT,BE,31.5,33.25,31.25,31.3,31.25,32.85,373713,11901652.3,12-AUG-2021,1860,INE666E01012,
ANDHRAPAP,EQ,239,243.9,237,238.95,238.6,236.15,35219,8468792.15,12-AUG-2021,1893,INE435A01028,
ANDHRSUGAR,EQ,562,571.9,551.95,562.45,561.5,552.2,121191,68494880.7,12-AUG-2021,4458,INE715B01013,
ANDREWYU,EQ,26.4,27.45,26,27.1,27.3,25.85,154833,4193505.6,12-AUG-2021,1112,INE449C01025,
ANGELBRKG,EQ,1202.25,1249.95,1196.9,1239.9,1236,1190.45,295097,364540470.8,12-AUG-2021,16936,INE732I01013,
ANIKINDS,EQ,19.6,20.45,18.8,20.45,20.45,19.5,51346,1015709.9,12-AUG-2021,224,INE087B01017,
ANKITMETAL,BE,1.85,1.9,1.85,1.85,1.9,1.85,33362,62322.2,12-AUG-2021,39,INE106I01010,
ANMOL,EQ,205,209.7,195,199.75,203.4,200.55,25723,5177713.1,12-AUG-2021,2268,INE02AR01019,
ANSALAPI,EQ,9.3,9.85,9,9.2,9.2,9,306508,2858590.4,12-AUG-2021,638,INE436A01026,
ANSALHSG,EQ,7.35,7.55,7.2,7.55,7.55,7.2,41073,306828.7,12-AUG-2021,95,INE880B01015,
ANUP,EQ,982.95,1040,965,1027.8,1025,962.45,65885,66678235.2,12-AUG-2021,7047,INE294Z01018,
ANURAS,EQ,715,748.05,715,736.3,735.55,715.95,197250,144836421.45,12-AUG-2021,9177,INE930P01018,
APARINDS,EQ,623,649.9,615.05,629.05,627,600,325295,206448172.35,12-AUG-2021,16351,INE372A01015,
APCL,EQ,475,493,470.3,486.65,493,463.2,54162,26247156.55,12-AUG-2021,3355,INE071F01012,
APCOTEXIND,EQ,345,347,338.1,341.6,342,336.8,38039,13040305.95,12-AUG-2021,1728,INE116A01032,
APEX,EQ,325,337.15,322,328.65,330,325.8,247064,81680369.6,12-AUG-2021,7021,INE346W01013,
APLAPOLLO,EQ,1674.75,1693.7,1655.75,1673.7,1666.05,1660.25,124914,209120676.2,12-AUG-2021,14898,INE702C01027,
APLLTD,EQ,760,766.05,753.55,757.7,760,762.2,275285,208745806.85,12-AUG-2021,10644,INE901L01018,
APOLLO,EQ,116.4,117.95,115.75,116.7,116.5,114,127452,14908120.95,12-AUG-2021,7866,INE713T01010,
APOLLOHOSP,EQ,4027,4142.95,3975.35,4133.1,4136.1,4026.35,556973,2269344863.1,12-AUG-2021,41549,INE437A01024,
APOLLOPIPE,EQ,1327.7,1345,1302.4,1315.75,1322,1321.65,32838,43591437.7,12-AUG-2021,2801,INE126J01016,
APOLLOTYRE,EQ,215.4,225,213.05,224.5,224.2,213.5,8200307,1818280003.4,12-AUG-2021,49347,INE438A01022,
APOLSINHOT,EQ,972.6,1008.7,786.65,910.85,885,934.85,90581,82111429.6,12-AUG-2021,12102,INE451F01024,
APTECHT,EQ,246.15,266,246.15,263.8,263.05,253.4,450289,116640082.3,12-AUG-2021,9741,INE266F01018,
ARCHIDPLY,BE,33.55,34.4,32.95,33.1,33.9,34.2,24678,821574.35,12-AUG-2021,148,INE877I01016,
ARCHIES,BE,18.4,19.9,18.4,19.7,19.9,19,64954,1260673.7,12-AUG-2021,377,INE731A01020,
ARENTERP,EQ,19.65,19.65,19.65,19.65,19.65,18.75,2023,39751.95,12-AUG-2021,18,INE610C01014,
ARIES,EQ,155,174.4,153.05,165.25,165.2,152.45,284761,47640697.25,12-AUG-2021,6690,INE298I01015,
ARIHANT,EQ,27.95,29.8,27.15,29.4,29.8,27.85,18556,525280.95,12-AUG-2021,251,INE413D01011,
ARIHANTCAP,EQ,132,156.4,131.4,155.9,156.4,130.35,535158,81584676.95,12-AUG-2021,9696,INE420B01028,
ARIHANTSUP,EQ,128.95,129,119,122.65,119.65,126,187576,23122753.6,12-AUG-2021,2108,INE643K01018,
ARMANFIN,EQ,651,727.45,650.8,677,670,643.15,28601,19664844.95,12-AUG-2021,3353,INE109C01017,
AROGRANITE,EQ,68.8,72.4,68.7,70.15,69.85,68.05,73623,5187312.05,12-AUG-2021,1880,INE210C01013,
ARROWGREEN,EQ,154.7,157.15,139.2,154.05,156.3,142.9,25518,3966995,12-AUG-2021,815,INE570D01018,
ARSHIYA,EQ,26.05,27.7,26.05,26.75,26.7,26.65,21840,591158.15,12-AUG-2021,297,INE968D01022,
ARSSINFRA,EQ,28.3,29.95,28,29.55,29.6,28.55,19081,557052.5,12-AUG-2021,474,INE267I01010,
ARTEMISMED,EQ,320,334.45,320,333.15,334.3,318.65,6215,2055167.8,12-AUG-2021,252,INE025R01013,
ARVEE,BE,100.15,100.15,97,97.5,97.5,100.15,594,58142.35,12-AUG-2021,18,INE006Z01016,
ARVIND,EQ,98.1,101.5,98,100.05,100,96.3,1276045,126681643.7,12-AUG-2021,12352,INE034A01011,
ARVINDFASN,EQ,207.45,207.8,195,200.8,199.9,203.95,543246,110948863.4,12-AUG-2021,8927,INE955V01021,
ARVSMART,EQ,125.85,125.85,122.25,124.1,124.35,122.65,56051,6948255.25,12-AUG-2021,1561,INE034S01021,
ASAHIINDIA,EQ,359,362.4,356.4,359.25,361.5,356.4,36716,13210647.1,12-AUG-2021,1868,INE439A01020,
ASAHISONG,EQ,348,372.4,341.9,369.2,372,339.9,70860,25707255.4,12-AUG-2021,4477,INE228I01012,
ASAL,BE,58.85,60.8,58.8,59.4,59.5,58.85,6183,367463.25,12-AUG-2021,76,INE900C01027,
ASALCBR,EQ,462,473.85,459.55,465.55,465,456.2,69365,32385015.95,12-AUG-2021,3263,INE073G01016,
ASHAPURMIN,BE,141,146,141,145,145.8,139.05,116889,16969793,12-AUG-2021,622,INE348A01023,
ASHIANA,EQ,157,163.35,153.65,160.9,161.65,159.95,112407,17979333.9,12-AUG-2021,4066,INE365D01021,
ASHIMASYN,EQ,18.35,19.4,16.8,18.75,18.6,18.35,59313,1106689.45,12-AUG-2021,307,INE440A01010,
ASHOKA,EQ,98.3,101.5,98.2,100.7,101.5,97.5,796560,79667346.8,12-AUG-2021,7248,INE442H01029,
ASHOKLEY,EQ,134.4,134.8,132.15,133.6,133.05,133.5,10595949,1414108428,12-AUG-2021,49320,INE208A01029,
ASIANHOTNR,EQ,80.8,83.75,80.8,83.1,83.45,80.15,3735,307990.2,12-AUG-2021,150,INE363A01022,
ASIANPAINT,EQ,2974,2985.25,2958,2975.5,2979,2972.6,438552,1303500119.25,12-AUG-2021,39076,INE021A01026,
ASIANTILES,EQ,170,173.5,169,171.7,171.8,166.1,199992,34269724.1,12-AUG-2021,3828,INE022I01019,
ASPINWALL,EQ,189.95,204.8,189.75,202.8,203,186.4,18370,3689501.2,12-AUG-2021,1347,INE991I01015,
ASTEC,EQ,1284.1,1353.6,1270,1347.55,1337.8,1281.65,19108,25155516.35,12-AUG-2021,2638,INE563J01010,
ASTERDM,EQ,158,166.9,150.8,164.3,166,156.85,1654989,262307995.5,12-AUG-2021,20667,INE914M01019,
ASTRAL,EQ,1995,2015,1951.1,1990.95,1991.5,1966.25,543011,1080167568,12-AUG-2021,45978,INE006I01046,
ASTRAMICRO,EQ,154,161.75,154,158.2,158.9,156.25,391730,62307945,12-AUG-2021,5572,INE386C01029,
ASTRAZEN,EQ,3178,3219,3170.75,3200.95,3206,3178.95,11337,36275446.9,12-AUG-2021,2896,INE203A01020,
ASTRON,EQ,56.95,58.25,56.5,57.2,57,56.35,245778,14128144.95,12-AUG-2021,2820,INE646X01014,
ATALREAL,SM,97,97.25,90.5,91.1,91.25,95.25,104000,9673040,12-AUG-2021,38,INE0ALR01011,
ATFL,EQ,1010,1029.9,995,999.15,998.85,1013.7,11117,11269322.65,12-AUG-2021,1590,INE209A01019,
ATGL,BE,894.55,911.55,885,908,900,900.1,97646,87855572.7,12-AUG-2021,5490,INE399L01023,
ATLANTA,BE,12.2,13.35,12.2,13.35,13.35,12.75,12811,170311.85,12-AUG-2021,43,INE285H01022,
ATUL,EQ,8892,9000,8850,8896.5,8896.8,8864.05,9294,82814471.6,12-AUG-2021,5156,INE100A01010,
ATULAUTO,EQ,200,202.85,198.75,199.55,201,198.35,125249,25056255.7,12-AUG-2021,3879,INE951D01028,
AUBANK,EQ,1289.9,1328.8,1282,1323.6,1323,1288.35,961655,1260968921.2,12-AUG-2021,31391,INE949L01017,
AURIONPRO,BE,195.6,201.45,182.35,201.45,201.45,191.9,50205,9961091.45,12-AUG-2021,425,INE132H01018,
AUROPHARMA,EQ,862,864.4,822.1,826.2,831.95,856.5,4086652,3423285098.85,12-AUG-2021,112827,INE406A01037,
AUSOMENT,BE,76.1,80,76,77.2,76,79.25,7270,568172.95,12-AUG-2021,115,INE218C01016,
AUTOAXLES,EQ,1305,1364,1286.9,1313.75,1312,1278.6,40392,53288280,12-AUG-2021,4439,INE449A01011,
AUTOIND,EQ,57.7,60.8,55.35,60.8,60.8,57.95,115301,6922565.55,12-AUG-2021,1087,INE718H01014,
AVADHSUGAR,EQ,440,454,438.3,445.95,443,439.55,124027,55521505,12-AUG-2021,4537,INE349W01017,
AVANTIFEED,EQ,581.25,612,569.3,592.2,593.3,580.2,1261882,743376826.75,12-AUG-2021,46472,INE871C01038,
AVROIND,SM,84,84.95,84,84.95,84.95,84.9,8000,675400,12-AUG-2021,4,INE652Z01017,
AVTNPL,EQ,66.5,77.7,66.5,76.65,76.95,67.9,1408678,103839089.3,12-AUG-2021,15426,INE488D01021,
AWHCL,EQ,360,390,353.2,372.25,372.7,336.95,2349724,882641003.35,12-AUG-2021,67552,INE01BK01022,
AXISBANK,EQ,759,763.4,753.35,757.35,757.9,760.8,3572081,2707346712.05,12-AUG-2021,95442,INE238A01034,
AXISBNKETF,EQ,357.69,359.82,357,359.45,359.45,358.68,4443,1590873.73,12-AUG-2021,19,INF846K01X63,
AXISBPSETF,EQ,10.21,10.21,10.19,10.2,10.21,10.2,4644,47381.57,12-AUG-2021,73,INF846K01Z04,
AXISCADES,EQ,79.65,82.3,78.65,81.2,81.4,78.4,76125,6197797.35,12-AUG-2021,948,INE555B01013,
AXISGOLD,EQ,46.4,46.4,40.4,40.54,40.59,40.34,153247,6213327.22,12-AUG-2021,3428,INF846K01W80,
AXISHCETF,EQ,89.4,90.5,89.11,89.71,89.7,89.02,2294,205298.99,12-AUG-2021,148,INF846K01Z12,
AXISNIFTY,EQ,169.2,170.9,169.2,170.68,170.75,169.76,12296,2093761.19,12-AUG-2021,299,INF846K01W98,
AXISTECETF,EQ,319,324.5,315,324.39,324.5,313.6,14602,4658516.19,12-AUG-2021,88,INF846K01Y96,
AYMSYNTEX,EQ,86.3,88,83.05,84.85,84.1,84.7,129580,11072338.05,12-AUG-2021,4111,INE193B01039,
BAFNAPH,EQ,149.45,149.45,140,144.7,145.5,142.95,2220,320622.4,12-AUG-2021,156,INE878I01022,
BAGFILMS,EQ,3.4,3.6,3.4,3.55,3.6,3.3,136164,481909.35,12-AUG-2021,200,INE116D01028,
BAJAJ-AUTO,EQ,3746.8,3777,3736,3769.35,3764.75,3727.15,316454,1190938597.65,12-AUG-2021,32257,INE917I01010,
BAJAJCON,EQ,258,271.15,253.3,260.25,259.9,257.7,1646431,433752390.35,12-AUG-2021,37979,INE933K01021,
BAJAJELEC,EQ,1051,1084.75,1041.25,1050.5,1048.95,1059.7,259490,273653952.2,12-AUG-2021,12036,INE193E01025,
BAJAJFINSV,EQ,14210,14380,14130,14340.7,14310.1,14206.2,160934,2295113996.05,12-AUG-2021,26001,INE918I01018,
BAJAJHIND,BE,15.95,16.85,15.55,16.8,16.65,16.05,3550323,58858246.7,12-AUG-2021,6827,INE306A01021,
BAJAJHLDNG,EQ,3999,4080,3959.15,4036.6,4028.3,4000.4,29005,116546902.25,12-AUG-2021,5196,INE118A01012,
BAJFINANCE,EQ,6181,6254.9,6151.25,6199.5,6193,6167.8,794602,4936214274.15,12-AUG-2021,62309,INE296A01024,
BALAJITELE,EQ,62.15,66.7,62.1,64.75,64.7,62.15,589105,37581416.15,12-AUG-2021,6780,INE794B01026,
BALAMINES,EQ,3326.6,3450,3326.55,3439.55,3435.5,3318.55,63242,215153968.8,12-AUG-2021,8773,INE050E01027,
BALAXI,EQ,565.05,582.5,559.95,567.65,569,562.5,1836,1055288.2,12-AUG-2021,181,INE618N01014,
BALKRISIND,EQ,2290,2370,2244.9,2299.85,2300,2289.75,581279,1333535810.25,12-AUG-2021,20712,INE787D01026,
BALLARPUR,BZ,1.2,1.3,1.2,1.25,1.3,1.25,3270218,4158364.2,12-AUG-2021,667,INE294A01037,
BALMLAWRIE,EQ,129.4,133.45,129.4,132.9,133,129.4,265299,35003224.05,12-AUG-2021,4120,INE164A01016,
BALPHARMA,EQ,98.7,102.8,95.05,100.25,100.7,95.75,110451,11082179.5,12-AUG-2021,1714,INE083D01012,
BALRAMCHIN,EQ,349,356.2,346.7,353.75,352,346.5,1368294,482252950.45,12-AUG-2021,18537,INE119A01028,
BANARBEADS,EQ,69.9,75.05,69.9,75.05,75.05,68.25,49095,3627668,12-AUG-2021,781,INE655B01011,
BANARISUG,EQ,1829.95,1830,1785,1822.1,1830,1789.4,4618,8366538.55,12-AUG-2021,831,INE459A01010,
BANCOINDIA,EQ,153.5,162.35,153.5,161,160.5,152.75,230576,36808042.6,12-AUG-2021,10900,INE213C01025,
BANDHANBNK,EQ,295.2,296.7,292.4,294.95,295.1,295.2,3762732,1108870800.5,12-AUG-2021,58730,INE545U01014,
BANG,BE,34.9,35,33.2,34.1,34.5,34.9,17989,609539.6,12-AUG-2021,144,INE863I01016,
BANKA,EQ,73.65,73.7,70.4,71.75,72,70.75,6614,474817.15,12-AUG-2021,287,INE862Y01015,
BANKBARODA,EQ,80.75,82,80.1,81.55,81.5,80.65,26238192,2132704794.5,12-AUG-2021,56777,INE028A01039,
BANKBEES,EQ,417,417,359.76,361.93,362.22,360.55,236068,85271024.24,12-AUG-2021,5849,INF204KB15I9,
BANKINDIA,EQ,68.35,69.65,67.6,68.85,68.8,67.45,1943902,133473303.2,12-AUG-2021,9161,INE084A01016,
BANSWRAS,EQ,195,200.85,190.85,190.85,190.85,200.85,58155,11236686.7,12-AUG-2021,1169,INE629D01012,
BARBEQUE,EQ,1086.4,1117.8,1062.35,1070.3,1072.4,1058.05,206138,223531442.1,12-AUG-2021,13949,INE382M01027,
BARTRONICS,BZ,3.2,3.2,3.05,3.05,3.05,3.2,19963,61204.35,12-AUG-2021,46,INE855F01034,
BASF,EQ,3839,3865.5,3692.05,3757.3,3775,3830.9,112855,425979656.25,12-AUG-2021,11768,INE373A01013,
BASML,EQ,92.8,95.95,92.75,95.95,95.95,91.4,63007,5985425.25,12-AUG-2021,537,INE186H01022,
BATAINDIA,EQ,1656,1755,1656,1675.05,1673,1666.1,3829161,6527953916.45,12-AUG-2021,142282,INE176A01028,
BAYERCROP,EQ,5836,5925.25,5836,5882.4,5875,5869,8004,47189792.15,12-AUG-2021,2379,INE462A01022,
BBL,EQ,1420,1443.8,1392.35,1410.6,1408.1,1411.1,14267,20231168.6,12-AUG-2021,1839,INE464A01028,
BBTC,EQ,1140,1166.35,1140,1158.5,1156.9,1139.7,45743,52981880.9,12-AUG-2021,5734,INE050A01025,
BBTCL,SM,91,91,90.95,90.95,90.95,91,6000,545850,12-AUG-2021,2,INE01EE01011,
BCG,BE,37.25,39.2,35.5,39.2,39.2,37.35,2984089,112913428.85,12-AUG-2021,9145,INE425B01027,
BCLIND,EQ,240.65,249.95,240.65,248,249.5,240.55,172423,42518774.5,12-AUG-2021,6183,INE412G01016,
BCONCEPTS,SM,31.1,32.45,29.95,29.95,29.95,31.1,30000,930450,12-AUG-2021,10,INE977Y01011,
BCP,EQ,3.75,4.05,3.75,4,4,3.75,602152,2379788.2,12-AUG-2021,415,INE905P01028,
BDL,EQ,376.05,386.65,375.1,384.3,384.45,375.05,103728,39567317.55,12-AUG-2021,4640,INE171Z01018,
