20180829 122059;2074.75;2075.45;2074.65;2075.3;4289
20180829 122159;2075.3;2075.5;2075.25;2075.45;3507
20180829 122259;2075.45;2075.5;2075.2;2075.2;5816
20180829 122359;2075.35;2075.5;2074.5;2075.1;4083
20180829 122459;2075.15;2076;2075;2075.9;1824
20180829 122559;2075.8;2076;2075.7;2075.7;1670
20180829 122659;2075.95;2076;2075.1;2075.9;1562
20180829 122759;2075.9;2076.95;2075.85;2076.3;2374
20180829 122859;2076.2;2076.95;2076.2;2076.8;1776
20180829 122959;2076.6;2076.9;2076.6;2076.75;1630
20180829 123059;2076.7;2076.75;2076.5;2076.5;3074
20180829 123159;2076.5;2076.9;2076.5;2076.85;2004
20180829 123259;2076.9;2076.95;2076.6;2076.95;1953
20180829 123359;2076.7;2078;2076.7;2078;3695
20180829 123459;2077.9;2079;2077.55;2077.55;3908
20180829 123559;2077.45;2078.45;2077.1;2077.95;3272
20180829 123659;2077;2078.45;2077;2078.3;4238
20180829 123759;2077.35;2077.95;2077.35;2077.4;1379
20180829 123859;2077.4;2078.15;2077;2078.1;2181
20180829 123959;2078.1;2078.15;2077;2077.2;2942
20180829 124059;2077;2077.35;2077;2077.35;1953
20180829 124159;2077.35;2077.9;2077.15;2077.5;1652
20180829 124259;2077.6;2077.9;2077;2077;2754
20180829 124359;2077;2077.75;2076.8;2076.85;2506
20180829 124459;2076.95;2077.3;2076.75;2077.3;2340
20180829 124559;2077.05;2077.3;2077.05;2077.3;1990
20180829 124659;2077.25;2077.35;2077.05;2077.05;2248
20180829 124759;2077.05;2077.3;2077;2077.25;1593
20180829 124859;2077.25;2077.25;2076.8;2077.05;2000
20180829 124959;2076.95;2077.3;2076.55;2077.3;3453
20180829 125059;2077.05;2077.3;2077;2077.2;1629
20180829 125159;2076.8;2077.25;2076.65;2077.25;2242
20180829 125259;2077.1;2077.3;2077;2077.25;3866
20180829 125359;2077.3;2078.3;2077.25;2078.1;2929
20180829 125459;2077.95;2078.15;2077.25;2077.7;1908
20180829 125559;2077.7;2077.9;2076.95;2077;3037
20180829 125659;2076.95;2076.95;2076.5;2076.75;3415
20180829 125759;2076.55;2077.25;2076.5;2076.85;2625
20180829 125859;2076.55;2076.75;2076;2076.2;7326
20180829 125959;2076.05;2076.45;2076;2076.4;3446
20180829 130059;2076.2;2076.35;2076;2076;5551
20180829 130159;2076;2076.2;2076;2076.1;2423
20180829 130259;2076.1;2076.55;2076;2076.45;2317
20180829 130359;2076.25;2076.4;2076.15;2076.4;2014
20180829 130459;2076.25;2076.9;2076.25;2076.4;1556
20180829 130559;2076.45;2076.45;2076;2076.15;3848
20180829 130659;2076.05;2076.55;2076;2076.55;2610
20180829 130759;2076.45;2076.95;2076.45;2076.7;2248
20180829 130859;2076.75;2077.25;2076.7;2076.8;2787
20180829 130959;2076.65;2077;2076.6;2077;2216
20180829 131059;2076.6;2077.15;2076.6;2076.75;3059
20180829 131159;2076.7;2076.8;2076;2076.05;3689
20180829 131259;2076;2076.4;2076;2076.3;2952
20180829 131359;2076.4;2076.4;2076.2;2076.4;2050
20180829 131459;2076.4;2076.45;2076.05;2076.45;1792
20180829 131559;2076.15;2076.35;2076;2076.25;2329
20180829 131659;2076;2076.4;2076;2076.35;3299
20180829 131759;2076.4;2076.8;2076.15;2076.55;1772
20180829 131859;2076.65;2076.65;2076;2076.2;2749
20180829 131959;2076.05;2076.1;2076;2076.1;2894
20180829 132059;2076.05;2077.9;2076;2076.5;6166
20180829 132159;2076.05;2078.85;2076.05;2077.8;25779
20180829 132259;2077.8;2078.45;2077.2;2077.95;7704
20180829 132359;2078;2079.4;2077.9;2079.2;4864
20180829 132459;2079;2079.5;2079;2079;7613
20180829 132559;2079;2079.45;2078.4;2078.9;6186
20180829 132659;2078.9;2079;2078;2078.8;5462
20180829 132759;2078.8;2081.4;2078.5;2080.95;12141
20180829 132859;2081.3;2081.9;2080.2;2080.95;6560
20180829 132959;2080.95;2080.95;2080.5;2080.7;3331
20180829 133059;2080.5;2080.95;2080.45;2080.9;5431
20180829 133159;2080.95;2082;2080.95;2081.8;5255
20180829 133259;2081.8;2082;2081.5;2082;4311
20180829 133359;2081.9;2082;2081.85;2081.85;3495
20180829 133459;2081.9;2082;2081.7;2081.8;3282
20180829 133559;2081.7;2082;2081.15;2081.95;7266
20180829 133659;2081.85;2082;2081.2;2081.95;4698
20180829 133759;2081.85;2082;2081.2;2081.75;3967
20180829 133859;2081.75;2081.95;2081.35;2081.45;4300
20180829 133959;2081.5;2082.05;2081.5;2081.7;37629
20180829 134059;2082;2082.05;2081.8;2082;20362
20180829 134159;2082;2082.05;2080.8;2081.95;38690
20180829 134259;2082;2082;2081.3;2081.65;3058
20180829 134359;2081.5;2082;2081.5;2082;6468
20180829 134459;2082;2082;2081.85;2082;10949
20180829 134559;2081.95;2082;2081.15;2081.65;3163
20180829 134659;2081.55;2081.55;2081.15;2081.5;1311
20180829 134759;2081.45;2081.5;2080.5;2080.9;2902
20180829 134859;2080.2;2081.75;2080.2;2081.35;5816
20180829 134959;2081.35;2082;2081.35;2081.5;2241
20180829 135059;2081.55;2081.7;2081.4;2081.55;2100
20180829 135159;2081.55;2081.55;2081.4;2081.5;2152
20180829 135259;2081.5;2081.6;2081.5;2081.6;1990
20180829 135359;2081.45;2081.6;2081.4;2081.6;1133
20180829 135459;2081.55;2081.9;2081;2081.5;2616
20180829 135559;2081.5;2081.65;2081.35;2081.5;2080
20180829 135659;2081.5;2081.9;2081.15;2081.65;3329
20180829 135759;2081.55;2082.6;2081.55;2082.6;158441
20180829 135859;2082.25;2082.7;2082.25;2082.25;7354
20180829 135959;2082.3;2083.5;2081.5;2082.35;8673
20180829 140059;2082.2;2082.95;2081.5;2082.9;5565
20180829 140159;2082.9;2084.5;2082.55;2084;8828
20180829 140259;2084;2084.75;2083.75;2084.75;4054
20180829 140359;2084.8;2085;2083.85;2084;8107
20180829 140459;2084;2084.35;2083.45;2084;3965
20180829 140559;2084.05;2084.7;2083.8;2084.6;5027
20180829 140659;2084.65;2085;2084.6;2085;7576
20180829 140759;2084.95;2084.95;2083.75;2084.75;6090
20180829 140859;2084.8;2085;2084.8;2085;5022
20180829 140959;2084.85;2085;2084.1;2084.8;63449
20180829 141059;2084.5;2084.5;2082;2082.35;3423
20180829 141159;2082.35;2082.5;2082;2082.3;2158
20180829 141259;2082.25;2082.3;2082;2082;4490
20180829 141359;2082.05;2082.8;2082;2082.7;4472
20180829 141459;2082.8;2082.8;2082.6;2082.75;2762
20180829 141559;2082.7;2083.1;2082.7;2082.95;3065
20180829 141659;2082.95;2083.15;2082.4;2082.4;6491
20180829 141759;2082.5;2082.5;2082;2082.4;4283
20180829 141859;2082.4;2082.45;2082.3;2082.3;6393
20180829 141959;2082.3;2083;2082.3;2082.95;3480
20180829 142059;2083;2083.05;2082.95;2083.05;1891
20180829 142159;2083;2083.5;2083;2083.4;2815
20180829 142259;2083.35;2083.4;2082.75;2082.75;3561
20180829 142359;2082.9;2083.05;2082.65;2083.05;2157
20180829 142459;2083;2083.9;2083;2083.75;2846
20180829 142559;2083.8;2084.05;2083;2084;3229
20180829 142659;2083.55;2085;2083.5;2084.9;4047
20180829 142759;2084.9;2085;2084.45;2084.95;3419
20180829 142859;2085;2085;2084.05;2084.6;3846
20180829 142959;2084.65;2084.65;2083.4;2083.5;3256
20180829 143059;2083.4;2084.45;2083.4;2084.45;4632
20180829 143159;2084.45;2085;2083.7;2084.8;8097
20180829 143259;2084.5;2085;2084.1;2084.65;5897
20180829 143359;2084.1;2084.65;2084;2084.5;4685
20180829 143459;2084.65;2084.65;2084.5;2084.65;2706
20180829 143559;2084.7;2084.75;2084.6;2084.65;2676
20180829 143659;2084.55;2084.6;2083.2;2084.1;2885
20180829 143759;2084.2;2084.2;2082.3;2082.65;2790
20180829 143859;2082.8;2083.2;2082.75;2083.15;2978
20180829 143959;2082.75;2083.2;2082.3;2082.8;4336
20180829 144059;2082.8;2083.1;2082.45;2083.05;2133
20180829 144159;2083.05;2083.2;2082.85;2083.2;2540
20180829 144259;2083.1;2083.75;2083.1;2083.15;2547
20180829 144359;2083.15;2083.35;2083;2083.25;1664
20180829 144459;2083.35;2083.6;2083.25;2083.5;1942
20180829 144559;2083.05;2083.55;2083.05;2083.55;1917
20180829 144659;2083.55;2083.55;2082.85;2083.3;2173
20180829 144759;2083.45;2083.45;2083.2;2083.45;1876
20180829 144859;2083.3;2085;2082.75;2084.9;20864
20180829 144959;2084.85;2085;2084.85;2085;4686
20180829 145059;2084.95;2085.05;2084.85;2085;10583
20180829 145159;2085;2085.05;2084.9;2084.9;29775
20180829 145259;2085;2085.05;2084.8;2084.95;32947
20180829 145359;2085.05;2085.05;2084.75;2084.8;27915
20180829 145459;2084.55;2084.55;2084;2084.05;3914
20180829 145559;2084.35;2084.35;2083.7;2083.7;3553
20180829 145659;2083.65;2083.65;2082;2082.45;6858
20180829 145759;2082.45;2083.3;2082.2;2083.3;4628
20180829 145859;2083.3;2084.8;2083;2084.25;6361
20180829 145959;2084.2;2084.7;2084;2084.25;4577
20180829 150059;2084.25;2084.25;2083.3;2083.45;4018
20180829 150159;2083.5;2083.85;2083.45;2083.7;2490
20180829 150259;2083.85;2083.85;2082.85;2083.15;4495
20180829 150359;2083.2;2083.2;2080.9;2081.9;10986
20180829 150459;2082;2082.4;2080;2081.8;29830
20180829 150559;2081.8;2081.9;2080.6;2080.6;5638
20180829 150659;2080.5;2080.6;2078;2078;8464
20180829 150759;2077.75;2079;2077.6;2077.6;7686
20180829 150859;2077.7;2078;2077.05;2077.05;5590
20180829 150959;2077.3;2077.95;2077;2077.05;14100
20180829 151059;2077;2077.05;2076;2076.25;17133
20180829 151159;2076.5;2077.6;2076.1;2076.25;6352
20180829 151259;2076.25;2077;2076.2;2076.8;5514
20180829 151359;2076.9;2078.05;2076;2076;7706
20180829 151459;2076;2076.35;2075.75;2076.05;7288
20180829 151559;2075.85;2077.7;2075.85;2076.6;4004
20180829 151659;2076.6;2077.65;2075.9;2076.05;8689
20180829 151759;2076.4;2076.4;2075.65;2075.85;3111
20180829 151859;2075.75;2075.8;2075.25;2075.5;8215
20180829 151959;2075.5;2076.95;2075.05;2076.6;10320
20180829 152059;2076.65;2077.7;2076.1;2077.7;5904
20180829 152159;2077.75;2077.85;2076.75;2077.7;4754
20180829 152259;2077.7;2077.9;2076.85;2077.2;5242
20180829 152359;2077.1;2079;2076.9;2078.85;13938
20180829 152459;2078;2078.55;2076.15;2076.15;7659
20180829 152559;2076.7;2078;2076.7;2078;7836
20180829 152659;2078;2078.7;2077.45;2078.35;9077
20180829 152759;2078.35;2079.15;2078.2;2078.95;9364
20180829 152859;2078.9;2079.45;2078.2;2078.3;11300
20180829 152959;2078.3;2080.3;2078.25;2080;22880
20180829 153059;2080;2081.45;2079.45;2080.25;11298
20180829 153159;2082.9;2082.9;2082.9;2082.9;1000
20180829 153259;2078.5;2078.5;2078.5;2078.5;1
20180829 154159;2078.5;2078.5;2078.5;2078.5;474
20180829 154259;2078.5;2078.5;2078.5;2078.5;15
20180829 154359;2078.5;2078.5;2078.5;2078.5;77
20180829 154459;2078.5;2078.5;2078.5;2078.5;282
20180829 154559;2078.5;2078.5;2078.5;2078.5;218
20180829 154859;2078.5;2078.5;2078.5;2078.5;70
20180829 155359;2078.5;2078.5;2078.5;2078.5;25
20180829 155759;2078.5;2078.5;2078.5;2078.5;20
20180829 163659;2078.5;2078.5;2078.5;2078.5;1
